Name,Grade,Style,Partner(empty),Notes,Date,Crag,County,Region,Country,Pitches,Type
"The Pinch",f7A+,"Sent x",,,14/Jun/21,"Gorlan (The Sheep Pen)",Gwynedd,"North Wales",Wales,1,Bouldering
Beretta,f7A+,"Sent x",,,01/Jun/21,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Fine Art",f7A+,"Sent x",,"Sent second go",01/Jun/21,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Beta Blocker",f7A,"Sent x",,,01/Jun/21,"Anston Stones Wood","South Yorkshire","The Peak Area",England,1,Bouldering
"Jericho Road",f7B,"Sent x",,,31/May/21,"Crag X (Derbyshire)",Derbyshire,"The Peak Area",England,1,Bouldering
"The Attitude Inspector",f7A,"Sent x",,,07/Apr/21,"Burbage South Edge","South Yorkshire","The Peak Area",England,1,Bouldering
Breakfast,f7A,"Sent x",,,01/Apr/21,"Burbage West","South Yorkshire","The Peak Area",England,1,Bouldering
"Razor Roof",f6C,"Sent x",,,27/Mar/21,"Cratcliffe Tor",Derbyshire,"The Peak Area",England,1,Bouldering
"The Buckstone Dyno",f7B,"Sent x",,,31/Jan/21,"Stanage North",Derbyshire,"The Peak Area",England,1,Bouldering
"Mark's Roof Left-hand",f6C+,"Sent β",,,22/Nov/20,"Gardom's Edge",Derbyshire,"The Peak Area",England,1,Bouldering
"Pop for the Top",f7A,"Sent x",,,25/Aug/20,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"The Bulge",f7A,"Sent x",,,25/Aug/20,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"Rock the Kasbah",f7A+,"Sent x",,,25/Aug/20,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"The Bulge",f7A,"Sent x",,,25/Aug/20,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
"New School Old School",f6C+,"Sent x",,,25/Aug/20,"Biblins Cave",Herefordshire,"The Peak Area",England,1,Bouldering
Exuberance,7a,"Lead β",,,02/Aug/20,Winspit,Dorset,"Central Southern England",England,1,Sport
"Red Rain",6c+,"Lead O/S",,,02/Aug/20,Winspit,Dorset,"Central Southern England",England,1,Sport
"Hoodoo Magic",7a+,"Lead RP",,,21/Jul/20,"Wyndcliff Quarry",Monmouthshire,"South Wales",Wales,1,Sport
"Purple Haze",f7A,"Sent x",,,14/Jul/20,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
"All Along the Watchtower",f7B,"Sent x",,,14/Jul/20,"Tintagel North",Cornwall,"Devon, Cornwall and Scillies",England,1,Bouldering
Rubicon,7a,"Lead β",,,10/Jul/20,Water-cum-Jolly,Derbyshire,"The Peak Area",England,1,Sport
"Cave Problem",f7B+,"Sent x",,,09/Jul/20,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Saline Drip Start",f7A,"Sent x",,,09/Jul/20,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Saline Drip (Sit Start)",f7B,"Sent x",,,09/Jul/20,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Basher's Problem",f7A,"Sent x",,,07/Jul/20,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Weedkiller Traverse",f7A+,"Sent x",,,03/Jul/20,"Raven Tor (Miller's Dale)",Derbyshire,"The Peak Area",England,1,Bouldering
"Shakin' Like a Leaf",7a,"Lead RP",,,30/Jun/20,"Cheddar Gorge South",Somerset,"The West Country",England,1,Sport
Wish,f7A+,"Sent x",,,19/Mar/20,"Cratcliffe Tor",Derbyshire,"The Peak Area",England,1,Bouldering
"Dry Wit in a Wet Country",f7A,"Sent x",,,18/Mar/20,"Robin Hood's Stride",Derbyshire,"The Peak Area",England,1,Bouldering
